,idx,Predval
119,1360,-0.32421875
120,643,2.390625
121,398,7.82421875
122,44,1.1015625
123,1024,-0.875
124,950,-1.7265625
125,892,0.5283203125
126,1042,1.8046875
127,2,-4.0869140625
128,572,11.96875
129,472,0.6953125
130,262,-5.5390625
131,938,10.55078125
132,29,-12.515625
133,726,3.40234375
134,432,-1.5625
135,277,-18.47265625
136,1375,18.7666015625
137,341,-19.95703125
138,417,0.8291015625
139,1238,-21.609375
140,604,-19.82421875
141,960,-10.71484375
142,414,-18.6103515625
143,704,-2.35546875
144,834,8.51171875
145,1205,-6.9375
146,339,-2.546875
147,553,14.009765625
148,1083,-2.41015625
149,485,-23.8046875
150,535,-8.2421875
151,285,-0.953125
152,30,-20.486328125
153,1165,1.421875
154,1372,-1.3203125
155,831,-13.05859375
156,1059,-7.09765625
157,72,0.7177734375
158,1125,10.31640625
159,1324,11.228515625
160,136,1.35546875
161,1120,-13.109375
162,1342,-2.546875
163,434,0.96875
164,275,24.640625
165,1315,-3.140625
166,167,3.28125
167,1270,-3.587890625
168,27,-2.578125
169,187,-5.1484375
170,1292,14.80078125
171,887,7.3984375
172,134,15.501953125
173,102,6.751953125
174,1323,-6.48828125
175,674,-7.7734375
176,332,17.7265625
177,875,-7.6875
178,1006,-3.3916015625
179,1061,12.3125
180,289,-4.2578125
181,151,-0.029296875
182,1084,5.2734375
183,232,-0.921875
184,324,5.9765625
185,336,1.427734375
186,823,-9.953125
187,1016,-6.69921875
188,495,-1.6015625
189,349,2.5517578125
190,1367,5.37109375
191,1154,-0.8701171875
192,178,-2.193359375
193,309,-3.26953125
194,899,0.2470703125
195,1206,29.125
196,419,-5.05859375
197,1088,-0.046875
198,1039,-2.37109375
199,1012,-15.1376953125
200,1112,21.525390625
201,939,-2.640625
202,1358,3.0703125
203,193,3.5078125
204,988,-1.123046875
205,173,-13.8046875
206,385,-4.9345703125
207,390,47.1162109375
208,313,2.466796875
209,854,4.3359375
210,215,1.15625
211,935,-0.2265625
212,820,4.06640625
213,186,1.55859375
214,1255,9.1513671875
215,1119,-3.5341796875
216,319,-13.37890625
217,1100,9.8193359375
218,693,1.03125
219,585,1.025390625
220,356,-2.30859375
221,513,3.7890625
222,1218,-1.298828125
223,979,10.1640625
224,610,-4.611328125
225,265,-6.01171875
226,531,6.8046875
227,475,-14.609375
228,686,-8.5390625
229,1384,-5.25
230,1201,1.708984375
231,712,8.75
232,1085,-2.529296875
233,952,4.048828125
234,1326,-8.896484375
235,1309,-3.26953125
236,127,3.05078125
237,796,8.5
238,614,1.6953125
239,1066,0.58203125
240,709,-2.5234375
241,68,-12.8359375
242,617,-32.1962890625
243,51,-3.9375
244,1139,-9.52734375
245,107,-8.9453125
246,240,-8.5498046875
247,92,-5.04296875
248,954,6.375
249,305,-2.5654296875
250,534,2.375
251,721,-4.5107421875
252,577,-32.84375
253,1189,-3.1767578125
254,194,6.27734375
255,375,-8.25
256,850,-3.75
257,1332,3.99609375
258,629,5.27734375
259,793,14.138671875
260,198,-6.6748046875
261,371,-6.9931640625
262,67,-1.359375
263,977,-6.87109375
264,867,-2.95703125
265,1031,-2.63671875
266,366,-9.6142578125
267,568,-11.9296875
268,464,2.328125
269,1263,2.4091796875
270,24,-7.2265625
271,897,-2.546875
272,1304,-24.4375
273,1226,2.185546875
274,567,-2.337890625
275,1005,3.3759765625
276,1096,7.330078125
277,560,-3.96484375
278,258,9.8515625
279,358,-14.3818359375
280,423,5.30859375
281,1065,-7.7744140625
282,78,-9.21484375
283,497,3.375
284,956,-0.1103515625
285,300,-2.462890625
286,1330,2.5537109375
287,580,13.75390625
288,547,10.0
289,122,3.23828125
290,1256,1.7265625
291,742,-1.994140625
292,1090,1.09765625
293,514,5.892578125
294,119,-3.712890625
295,1365,-7.29296875
296,964,-8.0048828125
297,368,-17.9677734375
298,874,-2.369140625
299,993,-3.25
300,1203,-5.29296875
301,1110,-6.40625
302,311,-2.740234375
303,995,-12.015625
304,1168,3.76171875
305,201,14.78515625
306,845,-6.2109375
307,559,10.69921875
308,989,-9.1611328125
309,158,4.0078125
310,492,-11.96875
311,403,-11.578125
312,444,-3.03515625
313,361,-0.04296875
314,687,0.779296875
315,384,-4.37890625
316,172,0.6884765625
317,170,0.50390625
318,957,-9.7880859375
319,1152,6.85546875
320,1229,-1.197265625
321,545,-5.84765625
322,1223,-16.794921875
323,933,7.33203125
324,229,-6.4921875
325,891,2.4296875
326,786,5.6171875
327,1321,-9.66015625
328,441,-2.05859375
329,487,4.7900390625
330,1285,-8.6015625
331,1182,-3.171875
332,343,2.58203125
333,1269,1.5078125
334,671,-0.431640625
335,1121,-5.6171875
336,689,2.3125
337,818,-3.27734375
338,1072,-16.703125
339,516,7.189453125
340,1180,19.7626953125
341,1307,4.05859375
342,297,7.06640625
343,272,6.1171875
344,1151,-1.296875
345,1,-24.37890625
346,624,-4.3671875
347,813,-8.7763671875
348,519,3.2265625
349,779,-4.9609375
350,217,1.0283203125
351,808,-12.71484375
352,556,6.203125
353,666,-16.8203125
354,160,-17.35546875
355,879,4.109375
356,96,8.625
357,204,-9.009765625
358,997,-7.48046875
359,26,-0.48046875
360,1098,2.408203125
361,1002,0.5546875
362,486,-11.703125
363,866,14.39453125
364,33,13.04296875
365,149,1.26953125
366,679,4.259765625
367,138,-17.47265625
368,1286,11.0
