,Record,Field,Value,idx,Sigma,Rho,Predval,Split
939,23_54,Au,25.28,939,22.11337210151352,0.6255430115450548,18.04383059188537,0
3638,22_50,Pt,-35.43066471721977,3638,14.3737272954689,0.6389588279553037,-34.259328985179856,0
3364,7_65,Pd,-41.09,3364,-6.6424270964674355,0.7432753174290814,-38.958894313814106,0
1380,10_53,Cu,-8.96,1380,-1.4169875524909028,0.9095610682180674,-4.900110591453528,0
1174,54_75,Au,-4.94617418339476,1174,-8.778950510258312,0.6255430115450548,-1.2806459283037706,0
3360,7_61,Pd,-43.46,3360,-6.66616154968684,0.7432753174290814,-38.97653554706476,0
1341,8_65,Au,12.56754997279495,1341,18.32035797601752,0.6255430115450548,15.671137112989673,0
1498,17_52,Cu,-6.6,1498,-4.597323964014013,0.9095610682180674,-7.792820775211303,0
2044,0_54,Ni,-50.458430481143296,2044,15.932337652193691,0.9432189240008224,-46.487764752711506,0
3252,59_73,Pd,-29.460049687419087,3252,-2.660637066888751,0.7432753174290814,-35.999328065643056,0
2882,18_59,Pd,-27.07,2882,11.950197268517009,0.7432753174290814,-25.13945553709062,0
169,18_66,Ag,31.36248909495771,169,17.68406454568292,0.6603606558655174,31.489325042276267,0
822,17_56,Au,1.48,822,-5.78017943733298,0.6255430115450548,0.5952143595881365,0
1043,29_56,Au,-0.17,1043,-2.5596271840689306,0.6255430115450548,2.609808314933142,0
2428,2_64,Ni,-68.80450756894425,2428,-1.7168690888609197,0.9432189240008224,-63.1348305444771,0
2193,18_50,Ni,-57.6211,2193,13.995649719042175,0.9432189240008224,-48.31448546114406,0
61,12_60,Ag,19.75204347865656,61,-0.8902855732959173,0.6603606558655174,19.22355501543165,0
1923,60_84,Cu,-2.8148837853223085,1923,-6.349047632907317,0.9095610682180674,-9.386120426712768,0
3651,22_63,Pt,-47.61261349450797,3651,-1.9417479032498608,0.6389588279553037,-44.68424589568702,0
1744,2_60,Cu,-2.29,1744,-3.3001714639900976,0.9095610682180674,-6.6129813616478135,0
1597,21_66,Cu,-6.006640126928687,1597,-1.9333524972431486,0.9095610682180674,-5.369776042192744,0
67,12_66,Ag,20.965387804433703,67,3.217428009859628,0.6603606558655174,21.93612745131194,0
1289,66_82,Au,-4.195045283995569,1289,-15.380633773636431,0.6255430115450548,-5.410282758143905,0
3255,59_81,Pd,-26.51412277203053,3255,9.445737602795884,0.7432753174290814,-27.000958590117822,0
205,20_51,Ag,19.802374279592183,205,2.845887420029233,0.6603606558655174,21.69077666373088,0
2210,19_50,Ni,-68.00336173642427,2210,-2.1496612615186224,0.9432189240008224,-63.543048311887276,0
2484,4_52,Ni,-59.55909422971308,2484,9.586595902563271,0.9432189240008224,-52.47318845778501,0
3940,5_51,Pt,-40.49913796130568,3940,7.134136684126343,0.6389588279553037,-38.88512931707952,0
3755,28_65,Pt,-40.91923266556114,3755,9.770102771419442,0.6389588279553037,-37.20085551541279,0
533,59_74,Ag,24.125624957028776,533,0.4212520869963896,0.6603606558655174,20.089642884974605,0
401,30_60,Ag,17.14822142198682,401,2.5094123536172583,0.6603606558655174,21.468581768192674,0
