,Record,Field,Value,idx,Sigma,Rho,Predval,Split
2817,22_35,Ni,-54.4622385292314,2817,25.00400142843309,0.8299130226690228,-45.56729181931886,0
994,16_39,Au,4.532796007581055,994,2.541390387967181,0.6411978034013284,3.7731027202433385,0
1625,7_40,Au,-1.74716,1625,-8.694627469458473,0.6411978034013284,-3.4314072489160905,0
455,29_46,Ag,7.24059518519789,455,-7.8970135198797,0.6773998066735506,9.092158646080376,0
3050,32_82,Ni,-67.40387003775686,3050,1.6031955470294628,0.8299130226690228,-64.98792536124559,0
100,13_48,Ag,11.54,100,-12.960653281970382,0.6773998066735506,5.662050050175644,0
2357,48_75,Cu,-23.051516425330192,2357,-12.635072530888703,0.8645448268278226,-19.425099406894454,0
1230,26_44,Au,-1.05,1230,-4.234896025564398,0.6411978034013284,-0.571837243331375,0
5024,9_37,Pt,-25.57024619914592,5024,-2.8985604426855978,0.6675432601414792,-46.107166154401696,0
3101,39_72,Ni,-79.50554764922708,3101,-6.652964294693843,0.8299130226690228,-71.83981993112877,0
2463,7_38,Cu,-13.72440939815715,2463,-6.485380723633191,0.8645448268278226,-14.108415168346255,0
890,11_40,Au,-1.47096,890,-16.640381527716936,0.6411978034013284,-8.526207297438607,0
4624,28_36,Pt,-41.90389649569988,4624,14.73550882115714,0.6675432601414792,-34.33566206845546,0
3536,17_40,Pd,-45.47,3536,-26.160822089327542,0.7097651036509356,-57.20958191603141,0
460,29_77,Ag,11.872015106026083,460,8.72035735562657,0.6773998066735506,20.348762464571013,0
3464,13_78,Pd,-18.1226613810286,3464,16.20020468031065,0.7097651036509356,-27.1432033601191,0
1956,21_35,Cu,-2.48,1956,3.472262039485072,0.8645448268278226,-5.499586630092857,0
4577,25_78,Pt,-24.859348696190864,4577,22.01103461215757,0.6675432601414792,-29.47893386268762,0
1939,20_39,Cu,-17.1477,1939,-3.274482236562008,0.8645448268278226,-11.332449491879583,0
74,12_43,Ag,16.152165177743882,74,-4.433304119848343,0.6773998066735506,11.438474724034977,0
1115,21_34,Au,0.1,1115,-1.0253718597412986,0.6411978034013284,1.4861026017578771,0
1068,19_76,Au,2.06883924594149,1068,30.0439746362488,0.6411978034013284,21.407699328101486,0
1547,4_49,Au,11.45,1547,6.048918600692015,0.6411978034013284,6.0221221056106895,0
2450,77_82,Cu,36.01461707893759,2450,30.783120946665125,0.8645448268278226,18.11187515433422,0
3775,27_48,Pd,-43.56,3775,-7.5722832310696635,0.7097651036509356,-44.01608570658056,0
3868,31_36,Pd,-40.29,3868,2.739012006917933,0.7097651036509356,-36.69748817321489,0
2227,34_83,Cu,-7.863908092491329,2227,2.457856402301306,0.8645448268278226,-6.376585776025062,0
277,21_36,Ag,9.755480561871082,277,-4.669716377208095,0.6773998066735506,11.278329106604223,0
3193,47_84,Ni,-81.15831327810884,3193,-2.5667872959103395,0.8299130226690228,-68.44864842690772,0
694,4_36,Ag,23.7262099836953,694,14.09355656066734,0.6773998066735506,23.988566567284106,0
2231,35_74,Cu,-7.950054167304188,2231,-0.8756082439052557,0.8645448268278226,-9.258515391316383,0
1290,29_41,Au,-4.63959,1290,-2.217342300674325,0.6411978034013284,0.7218137733123078,0
3641,21_40,Pd,-40.7,3641,-5.337000620708986,0.7097651036509356,-42.42956011294878,0
4306,14_33,Pt,-49.01867698505521,4306,-5.676616578575941,0.6675432601414792,-47.961638804209976,0
512,31_40,Ag,8.44340946758166,512,-11.34368610741856,0.6773998066735506,6.757383301614526,0
2084,27_37,Cu,-24.6443,2084,-4.998253003926948,0.8645448268278226,-12.822726591441967,0
3436,12_45,Pd,-37.78,3436,-0.280571857288926,0.7097651036509356,-38.84068342757637,0
2469,7_44,Cu,-9.30529479496181,2469,0.6321237998191187,0.8645448268278226,-7.955013452671935,0
4637,28_49,Pt,-47.5670384997502,4637,-16.249865403623037,0.6675432601414792,-55.01973979516898,0
2790,20_76,Ni,-73.64494446385652,2790,-14.421168902752559,0.8299130226690228,-78.28675409811422,0
3907,34_83,Pd,-35.32767707062885,3907,2.457856402301306,0.7097651036509356,-36.89704261006766,0
4981,7_36,Pt,-42.07176035596058,4981,-0.8702606664781941,0.6675432601414792,-44.753188309247975,0
1459,41_73,Au,4.111143523361534,1459,2.8988740312206027,0.6411978034013284,4.002320447049337,0
1088,1_49,Au,3.202723135240376,1088,8.348293269406312,0.6411978034013284,7.4964760923869544,0
3323,8_37,Ni,-69.6025,3323,7.856110098764563,0.8299130226690228,-59.798550145124,0
3943,39_74,Pd,-42.95472237979993,3943,-10.222049656540818,0.7097651036509356,-45.89679744820587,0
4887,49_82,Pt,-59.17543925251812,4887,-21.594527574228962,0.6675432601414792,-58.58753300489009,0
801,8_35,Ag,28.02054875111208,801,13.913229326436468,0.6773998066735506,23.866412933678138,0
4196,9_49,Pd,-40.3,4196,-3.3452071744030185,0.7097651036509356,-41.015854631080174,0
2210,32_82,Cu,-12.513330662623048,2210,1.6031955470294628,0.8645448268278226,-7.115478397142577,0
4496,22_34,Pt,-40.87000067252666,4496,7.690411964430262,0.6675432601414792,-39.03856899220741,0
3508,16_33,Pd,-36.41,3508,11.603450201944256,0.7097651036509356,-30.405819278914727,0
4011,45_73,Pd,-39.05473029101268,4011,-1.7574857274708802,0.7097651036509356,-39.88894535372957,0
2183,30_78,Cu,8.958521802444011,2183,34.79585595081848,0.8645448268278226,21.58106444360592,0
1746,12_35,Cu,-3.5,1746,5.247550549913386,0.8645448268278226,-3.964770132275186,0
4896,4_38,Pt,-33.56183858215809,4896,13.968039212188925,0.6675432601414792,-34.84798123328561,0
1508,47_74,Au,2.016770165413618,1508,0.2380707831367951,0.6411978034013284,2.2962192490948796,0
1656,8_76,Au,40.14300878997892,1656,44.73178523271016,0.6411978034013284,30.825491219327265,0
3573,19_35,Pd,-38.6,3573,-5.7220696338071795,0.7097651036509356,-42.70286866094318,0
2586,12_35,Ni,-68.0819,2586,5.247550549913386,0.8299130226690228,-61.96342768512322,0
1528,49_83,Au,-2.856685089878738,1528,-12.84010236201555,0.6411978034013284,-6.089476644079046,0
2587,12_36,Ni,-75.2992,2587,-2.394360699522461,0.8299130226690228,-68.30554934911093,0
2418,6_38,Cu,-12.48,2418,-2.644144231495111,0.8645448268278226,-10.787494030446027,0
2705,17_49,Ni,-72.86517592892051,2705,-4.062855964315117,0.8299130226690228,-69.69025529762395,0
4349,16_34,Pt,-42.069285227917135,4349,6.573155660975218,0.6675432601414792,-39.7843859074294,0
3952,3_35,Pd,-37.26,3952,-1.2139996034323106,0.7097651036509356,-39.50319786856849,0
2843,23_40,Ni,-62.7099453159608,2843,10.147174583756172,0.8299130226690228,-57.897165893254964,0
61,11_77,Ag,16.093686510343105,61,-2.0678552379062154,0.6773998066735506,13.04082933935874,0
4719,31_47,Pt,-43.88930391520262,4719,0.005934402531373628,0.6675432601414792,-44.16829019636144,0
3309,7_44,Ni,-72.36126957973465,3309,0.6321237998191187,0.8299130226690228,-65.79383045020141,0
2221,34_72,Cu,-13.678431084845217,2221,-5.747296796544936,0.8645448268278226,-13.470308527417341,0
2179,30_48,Cu,-7.687352641485631,2179,7.443705858020841,0.8645448268278226,-2.0660954217404237,0
4920,5_41,Pt,-40.45032367995009,4920,1.1564858337215025,0.6675432601414792,-43.40024734302433,0
3947,39_83,Pd,-41.13110917247832,3947,-7.932541118166367,0.7097651036509356,-44.27178418315682,0
2487,8_41,Cu,7.537910087034106,2487,9.939139136066634,0.8645448268278226,0.09131850948806353,0
