,idx,Predval
309,1751,-3.267578125
310,1767,-45.54296875
311,1544,5.73046875
312,3005,-10.1171875
313,2373,0.05859375
314,1367,-14.32421875
315,365,5.63671875
316,2983,-2.9140625
317,166,-1.416015625
318,2513,-7.08984375
319,3312,-0.51953125
320,1021,0.68359375
321,630,-14.859375
322,828,0.66796875
323,2225,-5.169921875
324,522,-0.2734375
325,3730,0.46875
326,3008,5.5859375
327,2732,8.953125
328,856,-3.75
329,1516,-1.2890625
330,3523,12.58203125
331,769,-0.296875
332,2391,3.42578125
333,3553,-4.3359375
334,2155,-3.07421875
335,2757,10.9921875
336,1436,4.17578125
337,2492,-1.03125
338,84,22.890625
339,1179,-0.9921875
340,3572,-1.296875
341,2622,0.125
342,507,-7.16015625
343,1308,-14.25
344,498,-0.9296875
345,3353,-1.6953125
346,987,13.40234375
347,3067,-9.6796875
348,2041,-27.37890625
349,964,10.494140625
350,865,2.234375
351,2392,4.5078125
352,949,-13.33203125
353,102,7.291015625
354,2544,-9.05859375
355,320,10.525390625
356,2077,-4.9453125
357,679,-4.8515625
358,3400,-18.798828125
359,2030,-3.13671875
360,2938,-1.865234375
361,1202,-6.7109375
362,976,-5.546875
363,1802,-1.140625
364,1206,1.765625
365,326,-1.0859375
366,2358,-8.01171875
367,2105,-8.884765625
368,366,7.076171875
369,2561,-3.03515625
370,1650,13.388671875
371,1564,8.943359375
372,1264,-14.00390625
373,1138,-44.953125
374,824,-7.232421875
375,379,8.974609375
376,2237,-0.46484375
377,1017,-8.171875
378,353,-8.5859375
379,211,-7.486328125
380,357,-13.478515625
381,1509,10.609375
382,1728,9.734375
383,122,0.125
384,1098,-2.455078125
385,309,6.673828125
386,3448,4.68359375
387,106,-10.796875
388,1244,-1.171875
389,393,-25.49609375
390,2248,-0.404296875
391,3819,-2.78515625
392,3271,13.552734375
393,449,-21.076171875
394,569,-8.61328125
395,3989,-0.904296875
396,693,-12.296875
397,3698,-8.40625
398,994,-2.3125
399,2627,8.31640625
400,321,-7.2734375
401,1191,10.0703125
402,3495,-2.390625
403,1482,-5.310546875
404,2320,-26.1875
405,3392,2.8828125
406,474,1.556640625
407,148,-8.6875
408,2643,5.39453125
409,1766,-3.234375
410,3285,2.8515625
411,3152,-7.697265625
412,3742,-10.224609375
413,101,-6.25390625
414,1661,-16.1875
415,184,3.36328125
