,Record,Field,Value,idx,Sigma,Rho,Predval,Split
2778,1_30,Ni,-11.972095821518453,2778,11.380821835378597,1.0106809457254387,-45.25012601726782,0
349,20_75,Ag,14.622077002190052,349,-7.044087278608803,0.6556932508109661,10.380335142681094,0
1002,15_17,Au,5.433261369355023,1002,3.4904007871745577,0.6820795743558268,7.310542805862141,0
2158,2_73,Cu,-1.0718809040263295,2158,9.957268866414013,0.8769803234294932,3.052967083367448,0
1577,8_10,Au,14.33,1577,7.090816641237815,0.6820795743558268,9.766312919105578,0
4745,5_73,Pt,-28.65115629509092,4745,12.533158728696394,0.6423031173027759,-29.626505063468237,0
766,8_19,Ag,20.988221868872643,766,-0.13679346427524428,0.6556932508109661,14.909401078107942,0
1655,0_22,Cu,7.164462868589908,1655,25.021245476346888,0.8769803234294932,16.263778162880698,0
1513,72_82,Au,3.36847722157836,1513,-10.36289344948742,0.6820795743558268,-2.1385062305062883,0
3588,1_21,Pd,-14.95,3588,-0.102893462406497,0.7030705374881909,-30.716534853158265,0
2857,23_29,Ni,-47.42468739673495,2857,1.8412000713676782,1.0106809457254387,-54.891639963581355,0
3577,1_11,Pd,-18.63,3577,9.71363614608436,0.7030705374881909,-23.81482210504786,0
1904,18_30,Cu,19.72175199678168,1904,25.161942718438347,0.8769803234294932,16.387166875755703,0
4896,9_17,Pt,-42.30103969061747,4896,-9.619948207872971,0.6423031173027759,-43.85551470676849,0
4209,12_22,Pt,-24.8355,4209,17.996343255671565,0.6423031173027759,-26.11748461139179,0
1981,20_27,Cu,-24.82,1981,-6.98927684759212,0.8769803234294932,-11.808820057914343,0
3979,73_81,Pd,-15.999518491793424,3979,18.371869481911027,0.7030705374881909,-17.727473339930032,0
3242,8_75,Ni,-45.006265769246966,3242,3.33753150986989,1.0106809457254387,-53.379326290197234,0
4241,13_27,Pt,-42.78,4241,-10.343275944547848,0.6423031173027759,-44.320110366866324,0
3255,9_16,Ni,-50.014023874886334,3255,6.379078590484037,1.0106809457254387,-50.30529261029368,0
4194,11_75,Pt,-45.72774918098003,4194,-10.726638802765912,0.6423031173027759,-44.56634552575788,0
320,1_4,Ag,32.751808975823224,320,20.880422131769624,0.6556932508109661,28.69024749527354,0
1676,0_82,Cu,-7.517458079382777,1676,5.520271342148739,0.8769803234294932,-0.8381924405185739,0
2366,7_22,Cu,11.225662228651345,2366,12.805074120828868,0.8769803234294932,5.550436256448397,0
762,8_15,Ag,29.01,762,20.06339475288035,0.6556932508109661,28.15452815720807,0
340,20_26,Ag,11.380400310270488,340,0.46127352438122227,0.6556932508109661,15.301549566102826,0
3657,22_26,Pd,-35.59,3657,2.8487908131395066,0.7030705374881909,-28.641292603054694,0
1847,16_18,Cu,20.259087402839214,1847,15.919043368448754,0.8769803234294932,8.28132601437558,0
1954,1_27,Cu,-12.372444692067802,1954,20.20112287664438,0.8769803234294932,12.036625486423784,0
3675,23_27,Pd,-25.62,3675,11.160610456332044,0.7030705374881909,-22.797497099010414,0
